title,rating,snippet
RIN,4,"Dropped this mid-year 2024. I remember that excitement of playing for the first time and the adventures I looked forward to, but now.. i felt like I wasn't getting where I wanted to be. Plus there's just way too many side quests and little things that just drags everything. Game is still special to me since I was playing this when I had nothing to do. Even though I dropped it and how much it frustrated me. Genshit is special ✨️"
One Kid,4,"Amazing game, I have more than a 1000 hours and experienced basically everything. The story is fine, the combat is *really* good and the open world is very stunning and a lot of effort is put into it. However I started to get less interested in the game recently because of the new characters and their mechanics... I play the game today mostly because of the combat, grinding doesn't really pay off since it's basically never useful because of the lack of content. Please make more use of it hoyo 🥺"
Dramana 22,1,"New players should not start playing this game. From the poor real life representation, to a heavy bearing load of a game, any new people looking to play is better off playing other games and get better results if they wanted a more progressive game"
scherehazade _,1,Turn back. It's a waifu coomer bait game disguised as a balanced wide demographic gacha game.
Delia Blaga-Frunza,5,It's a very adventurous game.I like it!
Kyaw Kaung Htet,5,Pretty cool
Kamal Omar,5,Great game
Ellje Gjbbons,5,This game is overall awesome. I've only been playing this for two days and I already love it!
Aaron Borjal,5,Yeah
Torfan Miz,3,Add skip in story plzzzzzzzzzzzzzzzz
Shan Saifi,5,"The best game I've ever played. Don't just ponder over whether to start it playing or not, just give it a go. IT'S WORTH PLAYING."
EpicNoovb,1,File size is HUGE!
sus bus,5,good game (help me it's my 4th time reinstalling for some reason)
Arshia Mousavi,5,"Fabulous, art of teyvat was the best thing I've ever seen. Thanks a lot hoyoverse"
Farha Naaz,5,Only great.... Okay maybe a bit racist
angle moon demon,3,"If you haven't played in a while and go to login back in it says your account has expired, and when I go to re-enter my info and the correct password, it seems it's wrong, like no offense the game is amazing and all it's just when I take a break for like a few weeks or something it makes me redo the login."
Fate,5,i like it
Els Ineel,1,game is too sweaty for my liking. nvr play this game again.
ha,1,"more male characters plz, plz less fanservice, tf is citlali"
Annisa Fadhilah,5,PLS JGN CEPET TAMATTT
Xian Skie,5,"This game has been really good, I love the new characters, the storyline is great, I'm waiting on columbina, and I'm really excited on whether will she be playable, I'm hoping she will, try this game out if you haven't, the story is time consuming, but really great!"
Reza Ahmad khany,4,36 Gig
Filip Kohek,5,Best game ever 10/10 would recommend it. Only downside is that the game is like 30 gigabytes.
Syafie Khirudin,5,Nice game
Richard Almazora,1,U COPYRIGHTED ZELDA BREATH OF THE WILD AND RAISIST !!!
Shiv Tyagi,5,Best mobile game i ever seen best story and the best graphics definitely a good game give it a try
Ammar Alai,5,Great jo
نیما عزیزی,5,Best
Abrar Maulana Nawazir,5,"Dari segi grafis dan gameplay sudah sangat bagus, dan fitur yang tersedia sudah lumayan cukup bagus,tapi alangkah baiknya jika ditambah fitur pvp, dan lebih dikembangkan lagi dalam memudahkan player untuk memasuki game dikarenakan dari beberapa review yang saya lihat dan tonton sering mengalami error. Cukup sekian, Terima Kasih"
Amanda Isabelle Tuason,5,Noice
Jerem0y,5,Love the game awesome for mobile phones
Zack,1,"Genshin Impact used to be one of the best open world game on mobile back in it's early years. Nowadays it seems the game has strayed further and further from being the best. Ignoring the obvious racist problem in this game, GI has consistently catered to the sad lonely group of men who play this game for innapropriate reasons. Citlali and Mavuika are one of the examples. Besides that, GI also has a bad problem with grinding."
Damiane Gegelia,5,Coolie
abdas Hoseni,5,Nice
Farhan Pratama,1,"honestly, who made the storyline for Sumeru Archon Quest? it's TOO LONG...."
Julio Kurnia,5,thank you✨ genshin impact of you are I'm soon..
Ali Fadavi,5,The best game on mobile
Talian,1,Stop Making Annoying Enemies.
Rudy Tjeng,1,When i was challenging a ruin hunter it kept flying and when it came down it stayed for like 5 seconds only! And i flew up again! And the acsension quest is too hard! And when i died in the game. The menu wanted me to use training grounds like its mocking me that im weak! And why did it only change into PC only!?! Im so disappointed. Please fix this!
Benecdicta Nwankwo,1,I haven't played it yet because it takes time and data to download the resources and all.
Taha Shabani,5,goooooooooood
Ice Wallonut,2,Terrible Boss fights
Mohd Azher,4,This game is very nice
Hassan Saeed,5,It's amazing
Benny James,4,Liked the games but i still feel this should have been a paid game. I feel the microtransaction is making the game irritating. But loved the game. I would still recommend it to all.
Shawn Bean,1,"it's like balatro, but actual gambling"
Global Dunyo,4,Amazing
Magi sagar official,5,Wow it's good👍 ❤
Elman Moradi,5,I love this game it's really good...that story is awesome I completely finished archon quests and now I am getting characters in game... it's awesome
Fritz Carmelo Anglo,5,Finally I have a new phone I can play this game now yess
Aisyah Alya,5,The losing is long
Dark soul,1,Gambling in a cute way but still gambling said the random boy in the comments
Tina Pinto,5,"It's a really good game I love it alot, there's so much to do in it n I love the graphics quality if genshin"
Andrew Masters,1,"What you see in the trailers ehere character have voices, most characters in-game are muted due to the fact that when you hire Americans English Voice actors, they go on strike and the characters you paid for doesnt have any voice. Don't waste your money on this game! You have been warned!"
Dave Yanga,1,Do better
Abby Fuentes,3,I've been playing Genshin for a long time and I have loved every bit of this game until now because tell me why I LOST my flippin account hoyoverse. All of my hard work into this game GONE. VANISHED. NO WHERE TO BE SEEN. And I JUST got zhongli as well so give me my account back hoyoverse.
Rubeena Rahman,5,This is the realistic game
Faisal,2,"Please add skip button, the yapping sometimes feels too much"
nayan,1,"This game always lacked more content and mechanics and endgames truly awful management and monetizing. Played it till 4.4 i think cuz there wasn't any better options back then but now i moved to wuwa. It's thousand time better game and devs actually listen to their players. Genshin for me, it's just an exhausting game with no content and for the only purpose of milking your wallet"
Reagan Fizer,1,So I can't even properly rate it because everytime it gets to the screen after downloading the first stuff it kicks me out. If that makes sense.
Ryla Fry,5,It's good just wish I could customize the main character and the twin
bucky99,5,brain fart
Vaishudev Hj,5,Amazing
Claes Capistrano,5,absolutely a wonderful game
Jason Zenyuren,2,"This game become pay to win game. Farming relics/talent/asc mats always taje forever, the characters has more and more stupid gimmick that pretty stupid."
Prem Kumar,5,One of the best game ever.
Savannah,5,its fun just takes up a lot and I mean a lot of space
Brijesh Ladher,5,OP
أحمد ابراهيم,5,I love this game it's so adventurous and full of spirit it may take 7 hours to load at first but it is worth it!
meet vaniya,5,Amazing 😍🤩
james kyle (jem),5,Um I Really like this game I was playing it in my old phone until I have to buy a new phone but my new phone can't install this game. My phone is android 14. I want to play this game again 😭
BEĄSŤ SŁÂŸĘR,5,"* Stunning visuals and world design: The game boasts breathtaking landscapes, detailed environments, and a vibrant art style that draws inspiration from anime and fantasy. * Engaging combat system: The combat system is fast-paced and dynamic, with a focus on elemental reactions that can be chained together for devastating combos. * Vast and diverse open world: The world of Teyvat is massive and filled with secrets, puzzles, and challenges to discover."
Rohit Biswas,1,Would rate 0 if I could I logged in on my birthday to get my birthday cake via in game mail and did not receive it i thought it was some kind of error and after wating for it someday I sent a feedback to which the genshin cs crew replied i did not logged in on my birthday the kept constantly arguing that I hadn't logged in on my birthday but the thing is I had i even have app data usage record of genshin that proves that I was playing the game on my birthday!!!
Susan Grg,5,This game is good
Kohei,5,"One of the best games I've ever played in my life 💛✨ The music, the gameplay, the story everything is top notch..."
Jenowen Corps,5,"I really really love this game alot ever since i was a kid and saw this game i dreamed of playing it, the characters, scenery, story and everything is just amazing!"
Irshad Hasan,5,Good
Anshul Meena,5,Best game 🎮
Chaewon Kim,1,"The overall experience is unsatisfactory, not relaxing, storytelling is so cliche and common, no uniqueness that can be differentiated from other story games. battle mechanics are poorly designed. Pretty much most of the features are poorly made."
Heroine Ninna,1,"I can't log in using my Facebook account, and I've also heard a lot of people have had similar issues but I guess they haven't fixed this issue."
Sayan Das,5,This is a really nice game but I would love the developers to make a LITE version of this game that requires less storage and less system requirements for low end devices.
Vergel Terrible,5,The game is awesomeness even the low ping it's working smooth even when I invite friends to my world it's excellent but please add like voice chat it's hard to communicate in chat only.
Jon Thornton,5,Very addictive game would like three things to make it better.1 to be able to completely shut off paimon in settings just paimon no one else. 2 no limit on range to sneak quests foe story like following keijiro tracks for inazuma. 3to be able to stop and gain accessibility for Co-op when I don't fell like doing archon quests
Aikarion R.,2,Broken controller support on android. How long are you guys gonna leave it broken? I connect to the phone with my controller but the game won't detect it.
xhamv.,5,keren
Cesar flores,2,No controller support on android
Mei,5,"have been playing for a few months, even tho I don't know how to build. I find it pretty sun, struggling to do high dmg is actually fun cuz it's like a challenge! when you play with super easy fights of high dmg... it's not that fun for me. but the characters are cute! story is amazing (sumeru and Fontaine best story) and grinding...is suffering, but fun for me!! Natlan kinda disappoints me tho... anywyas. SHENZNAYA BETTER HAVE A LOT OF CRYO RERUNS AND STUFF🗣️🗣️🗣️"
Aminur Rahman,2,"Loved this game till the dialogue became too long and overwhelming. The latest natlan content was too much of a stale dialogue, quests like move to locations for more dialogue, no skip button or anything, it made it increasingly boring. Uninteresting. Before i would play between my work schedules, now id spend all that on freaking dialogues. I got so much content to catch up on, i dont need the hour long dialogues in between. This fast paced game should consider players with little time on hand"
Mr. Maksym,3,"Most time waste, but if you take a big break for this."
Noah Aston Caritan,5,So nice
Jamie-lee Olyn,5,Good game no complaints 👍
Jirum Eyum,5,Good
Cassie Archon,5,"I've been playing for so long, and omg, the best game ever! If I had to delete everything on my phone for Genshin, I would! Best gameplay, best soundtracks, and designs, I just wish there were more skins, but it's still the best game!"
Simon Aligam,4,"For my experience In this game, I think Its pretty cool (reminds me of The Legend of Zelda: Breath of the Wild) The only regret I have Is not playing Genshin Impact sooner"
Zeljko Petkanic,5,Weri fun
Guy Moalem (Houku),1,I lost my gf to that game
Changer,5,Graphics was better. Storyline base game and a templerun like game :D hard to control on mobile :D. Atm just exploring the game. Just got start addicting to it :D A lot of quest! Mostly btw
Unique Rose,4,It's a wonderful game with ful background story. The only thing was when first downloading it took awhile but it was worth the wait
Jesus Lazcano,5,I love that is reminds me ofy favorite show Sword art online
DEATHROW GAMING,5,this game crashes on my phone after playing for about an hour 888+ processor please fix it
Kaller XD,1,"play with the Redmi Pad Pro and I use the keyboard and mouse, but the game does not support it, and that makes the game not enjoyable💔. You must support the keyboard"
Garret Boyd,5,Great game! Love how I can play on any platform too.
Sakura,3,"love it, it's beautiful with amazing characters with all different writings that make it interesting. if only that last part was true. often repetitive character personalitys which relatively the same back stories. no skip option, which is annoying for the 15 mins of dialogue this game has. the characters are often revealing(especially females) and are not culturally accurate. The male characters are nice though, its just sometimes they get pushed to the side for the females. not enought primos."
M.S. SAEEDI,5,Very Very Good
Jinx Shadow,5,Great
Crimson Angel,5,Just 5 stars
Me Only,5,such a good experience for an rgb game
mehrez mouhamed,5,I LOVE THIS GAME I RECOMMEND IT FOR EVERYONE
Elvis,5,I LOVE GENSHIN SM!!
carline jean mary,5,This is amazing I'm addicted
Rio Duncan,5,One of the best gam3
Cassandra Althea Ramos,4,Good Adventure game and you can have a lot more fun by using COOP to play with my friends.. it's so fun but there still some bugs in the game and yeah- but keep it up!!
Jovana Kuzmanoski,5,I ADORE THIS GAME SM!!!
christine gomis,1,"Your game is horrible and rasict,You sexualize female characters way to often."
Hrishikesh Saju,5,Highy recommended if your into world exploration
Saikat Saha,5,Op
S hiki,5,گیم مورد علاقم>>
khaled hany,4,It's very good and fun to play but need smaller talking
shishir ahmed,5,I love this game
scratch out,1,I was playing the game upto 5.0 but then uninstalled it due to my exams after I came back for redownload the game struck at calculating resources for download at a same number of 0.50% I have storage even a high end device I reinstalled it so many times but still it's not able to download the in-game resources it just struck at one point with music at background
Medy Wayne,5,Fun
Shrirang Warulkar,5,👍
Elijah Samuel,5,Great
Mia Vrsaljko,5,I love this game so much omggggg
HEMANT RATHIYA,5,Best game on play store
joshua barro,5,"The game is beautiful and more adventure, I suggest you hoyoverse is 120fps that may suggestion thanks:)"
Ali Nahle,4,I wanted to start the with someone but I need rank 16
Myko Montero,5,"this is the best game i have ever played i love the music,charters,lore and story all i can say is this is perfect, but it's just that the storage is so big my phone can't cope up to it anymore"
Aubrey Lusk,5,"I love this game!! In all honesty, it's probably the best game this style out there. I used to play this when I was little, but now I've got a phone, I got the game right away. I recommend this game to people who like action mixed with mystery and whatever they call the game style. 5/5!! Play nowwww!"
Mikaya Uzumaki,5,"I just joined the Genshin fandom, and I'm already so in love with it! Especially the beautiful characters! But there's a problem... Every time I try to get into the game it loads fine but when I try to move the screen goes black and it kicks me out of the game, please fix this issue, Thank you. Edit: Thank you so much, they fixed the problem and now I'm able to play! :D"
Derek Adomokai,5,It's so amazing it's like a 3d anime that I control
Abdul-Aziz Mesias,5,Amazing open world experience
NatFireFly,5,"The game itself is very entertaining and fun, there's almost no lags or bugs. The story and the lore are very interesting and the world is very big. Highly recommended for people who is searching for games to play when they are bored or has nothing else to play."
Tyler Hickcox,1,Not representing people of dark skin while thr whole game is about exploring different cultures is crazy
Momo lava,1,Boring
Henry n Aminata Songa,5,I love this game! 🥰 I it is fun and me and my sister play it.
Amirah Gonzales,3,"I'm giving this 3 stars, because I've played this and this is one of the best games ever, however, I got a new phone (Infinix Smart 8 Pro) and I'm unable to install because this game isn't compatible with my phone, can you make any changes, can you make it compatible for all? Or is it my device that's responsible for this?"
Tora Keren,1,Gooner game
Raj Kumar Azad,5,Awesome experience just a fantasy game I was looking for
Uttkarsh Das,5,Just wau
Jasa Bratus,1,ewwwwwwwwww🤮
George Tsole,1,No controller support... Honestly I played it a bit and bought a controller to play games like this. How does this support controllers on pc but not on the android version? And why is it limited to only 60 fps when my phone can go higher?
Ornella Vossah messan,4,"It's impossible for me to play because apparently I ""have too many files in my device"" when it's a brand new one and hasn't installed anything. BUTTTT since I was able to play on my Brother's device, I'll give it a solid 4 stars."
Viktorija Zvirble,5,Ily
Cutie De guzman,1,Can be 5 star but it doesn't work on my phone:<(Infinix smart9)
Avina Abbasnejhad,5,Good
【Hatto Ryuzaki】ಠ_ಠ,1,"Plz stop make me lose 50/50 in every of ur game. If you promise to give me win 50/50 in every banner and at early low pity, I'll give you more starts and treat you very well. So let me have all characters and weapon that I desire to pull. I'm begging you to stop being greed on your players"
Iliya Haraty,5,The best
Tashi Lhamo,5,Love this game bc we don't have to travel places to learn new things this game is everything.
NT TNT,5,Beautiful game
Kris Sarte,5,Kinda lol
Moh Irfan,5,I love it.
Aryan,5,Best story game for mobile
Alex Hong,2,"while I really like the game, if i'm just rating the android version, it's 2/5 for me since they refuse to add controller support for android after so many years. with more complicated movement mechanics from the environment & characters, it's becoming a literal pain to play the game on a touch screen when exploring & doing longer combat events. due to how much my right thumb need to move around & tap on screen, it would ache after just a short while. add controller support & it'll be an ez 5/5."
Amit Das,5,Really good game
Hussain Afeef,1,This game sucks. Takes ages to download the files
Ameena Yasmeen,5,I have been playing this game for 3 years and I have accomplished a lot😊😊
Saeedi,5,I love this game it's the best game I play in my life
Saiful Anuar5929,5,Best
shardul sharma,1,-200 stars an hour of auroplay garbage dialogues without any playable content. To hell with the hydro arcon and to hell with this game.
Ian Ling,5,Fun
Stella,5,It sooo good I play it so much that I can't stop
Chukwudi Ekene Obichukwu,5,Time For My Opinion on this game. It's the best thing that I've seen. Just a year ago I played this and became happy because of this diversity in the game and it has great adventures and the system of combat. Worth the download
Kangthir Ingti,5,This is my number one game for sure 😊❤️
Ghost,5,The game is really great i would really recommend it to anybody who likes these types of games
Hemang Raj,5,This game is so good and has a pretty good storyline also its peaceful
Malik Saad Sultan Nissoana,2,Game size is big so I download 5gb daily it is second time when I downloaded the whole data But after the download is completed it again start downloading from start
Christine Denise Mercado,5,Amazing.
marojjaichandra,5,Great game tbh
Keron Lewis,5,I ❤️ genshin_impact i love the scenery it calms my heart. I just wish my phone could handle the full graphics
Ariane Magbanua,4,"It's my third time playing this game. The graphics were so amazing and, I love how the other places so breathtaking. The only problem is that, the storyline doesn't have a skip. I suggest, to implement a skip icon so that, it won't be boring for me."
Victor Platon,1,"The game is a big is a big disappointment. It's nice in the beginning, and then is just a boring slow text that you need to read. The events are lackluster. The story, apart from 2 chapters, is uninteresting. The main character is useless, and his story is forgotten. The devs take no feedback and if they do it takes years to implement something."
S Raman,5,My favorite game
Darrell Pang,5,So cool
Anurag,5,It is the most realistic 3D game that u can play on your mobile. It's just take a few time to download the game as it takes apx-30 GB of internet.
Олеся Смекалова,5,"Мне очень нравится игра за открытый мир, возможность исследовать и играть по мультиплееру. Просто хочется чтобы разрабы чаще прислушивались к игрокам"
Navaneeth N,4,🔥
Random Guy,1,Take a shower
nirbhay bhosle,5,Great game with tons of experience. I really like the game it so much fun ☺️😊
ALSID Ced,5,😁
Ember Emberdosko,5,The game is super fun and i like it and you never get bored
Sannqt,5,Good
Kim Mero,5,best game ever
Mamta Mahato,5,can we play this game at 2gb mobile
MUHAMMAD ZAMIR,3,I love this game❤️😭but we neeed skipppppp option for muted character tho I was so tired of tappping just give us skip for dialogue please
harianto indra,5,Beutiful beutiful
Avery Deletov (Ave),2,I haven't played this game in a while can I come back to find that all of my accounts while they still exist no longer have my saved data
Mika,5,THIS GAME IS JUST PERFECTIONNNN I LOVE ITT (pls a wriothesley rerun🙏🙏)
SABER,4,تنقسها فقط الترجمة لكافة اللغات
Ilzes Biretaites,5,Takes up a lot of space but worth it good graphics and cool characters
Sugi Hachi Ishigami,3,"Okay, this game is really good, everything is detailed, alot of culture inspired places and really cool mechanisms for battle, intresting ways of building a character, all are good..except for a thing, CHARACTER DESIGNS. Im not saying all of them are bad, their stories , and everything are good its just not unique (starting from skin colour too) its all the same pale White, and only some are tan, understand designing a character is Hard, but other games i played has more diversed."
Jubayer Hosen,5,This game is so good 😊💯
Millennium Pal,4,Umm yeee
Hriday biswas,5,Gooud
Yugi Amane,5,It was fun :)))
athifannisa,3,i can't update :(
Laureencia,5,Bagussss
Jayjay Recabo,5,"This game is the best u can dowload in mobile,ps5,comuter and loptop this is the best like the best of all time"
अभिषेक सोंधिया,1,Overall game was perfect Unless that Disgusting motorcycle gameplay wasn't come..... Mavuika is Pyro Archon and her Motorcycle gameplay is Ugliest thing in Genshin.
Vibhav Kandala,1,It pains me to give this game such a small review because this game was so good and I have been playing for more then 3 years. Genshin will always be the savior of COVID to me and I will cherish it. I just feel like this game wasn't as good as it used to be. Now the biggest reason I play genshin is the characters. The characters in genshin are amazing. But there are way too many females compared to males and I fear this will be a Honkai impact situation. There needs to be more diversity.
CYRUS J. LUSTRE,5,Giod
Nitu Hasnu,5,Nice gam
Muntazim Ansari,5,It's a brilliant game
Sarina Masoumi,4,"This game is great, but it should support Persian language and have a translator"
Remu Danzan,5,Stop giving me feels Mihoyo I hate it
ARK JEUNE,5,It's a nice game
Wryux,1,Won't increase my star until skip button comes where we can skip literally every story including archon quest
ONLINE Ğamer,5,Nice
Soughat Limbu,5,GG Game fr!
Astin Siu,5,"I mean cmon this game is unstoppable.You can be an F2P (Free to play) player and not spending any of your money,you can still get those amazing weapons,characters and TCG cards.Well PUBG I'm sorry"
Kelly Dube,1,I hate this game so much!!! It took me 6 or 7 hours just to get to 40%
I A,1,"This game really cheats you out of everything and spits at your face 12/25/24: This game has come a long way and I've played up to Natlan. I thought it was doing better with Fontaine, story quest was good, character stories and adding resin but Natlan itself has killed the game for me. The character designs have very much continued to downgrade, Natlan story looks unfinished and like it was clearly overwritten. The grinding and cut scenes i can't skip of mediocre scenes make this unplayable"
Britt Richins,5,This game is so good
bon,2,The game's getting boring and Natlan sucks
Ayla Pisello,5,Character designs are absolutely beautiful and it's a super enjoyable story
Omar NTZ1,1,"I just don't like the new direction of the game, it's a childish direction that reduces the male characters and focuses on the females for those sims. Even the new male characters are disgusting and the new areas are childish. I feel like they're making areas with a lot of childish colors and the missions are repetitive and boring. The game has lost its special charm that it was distinguished by in the beginning."
Kent Martinez,5,Free archon pls
Jesster Blissbell,1,"The game is okay but it takes up 31 gigabytes of storage, it's way too big"
Radhi Esqandar,5,😃👍
P. w gamer,5,Good 👍
Mario Salles,2,"The game is fun, but lacks emotional attachment in the last releases. Since the 5th region came out, I feel like it turned into a cheap P2W game."
irfanthaqif,4,Best
Tommy Lor,1,"Plus stop making your event mini game trash. The game is already have alot of gacha system. Don't making your event games gacha. It makes it worse now that you put 2 new 5 stars together. That's so dumb, you can make more money if separated but I see you're just a bunch of high schoolers making a game. No wonder you're here making this kind of game. Honestly, this game HAD potential, but sadly just dumb high scho- I mean Dev."
Furina,5,Needs 20+ Gb but it's so worth it
Ghost of the fallen Valkyrie,1,"Sad to say it peaked in Fontaine- Natlan is honestly a huge disappointment. The explo is fine w/ Saurians, but the phlogiston depletes too fast and some of the Saurians are really awful to control on console. The powercreep is getting worse and the only QoL updates are built in the limited characters. The rewards to effort ratio is horrible. The lack of diversity in characters is horrible. ZZZ n genshin are blending together now. Lots of unnecessarily long writing, especially in world quests."
Pal,3,"pls hoyo give me mavuika, citlali, and chlorine on next patch. if i get them, i will give 5 star for u."
Daniel Haskins,4,I love it but the free four-star sing I'm not getting a free 4 star of how much I try to do I do every single thing I can and I still want to do it I even did the requirement to do it
Ridwan Ali,5,Genshin is so good! That's A good game to play and so thanks for playing the game.
Gracie Ray,5,"I love how detailed it is and how you can explore without doing tasks every minute. The moment I played this, I was in love. 5 stars 🌟 🥳"
Irvin kurrt Miñano,5,"I love the game especialy the voice acting and the character design and the beautiful Graphics,the only left missing is emotes like sleep, sit, dance, wave,"
Miko Escobar,5,acknowledge the community MIHOYO
Anahera Lasko,5,"Amazing! The graphics are good, the characters are good, the gameplay is awesome!!!"
ekoan,5,This game is AMAZING
Anouk,5,I <3 you
Mark Casebolt,5,Amazing storyline
Vinny Deep Sabar,5,The best open world game with art style and story for mobiles
Yuno Romaji,5,Really like the story
Sai Aung ko ko,4,good
Britany Francis,1,This game lags very bad I would not recommend downloading this at all its a waste of time I takes hours it could take centritres and it still would not finish downloading gunship impact NEEDS TO FIX THIS BUG
Emu Otori!,4,"Nice and open world, but sometimes people who join in co-op steal all my materials 😔🙏"
Jennifer Melgar,5,"I really love this game, I love the new nation that they made, and doing the puzzle is fun, I really recommend to game if you like action and finding treasures, this game has from everything."
rayy,1,i HATE genshin!!!!2!1!1!!112!2!! 😫😫😫😡😡🤬🤬😡😡
ROHIT KUMAR RAI,1,"WOREST GAME EVER I AM BIGNNER I LOST 50/50 NUVI, WHAT BIGNNER CAN DO ? YOU NEED TO GIVE GURREETY PULL TO BIGNNERS . I MAKE 2 ACCOUNT, I LOST ON BOTH 😭😭. YOU NEED TO FIX THIS, I QUIT THIS SORRY BYE GENSHIN. ONLY GOOD THING IN YOU GAME IS COMMUNITY, GOOD PLAYER HELP BIGNNER, everyone help BIGNNER 👍 . That why I give you 1 star."
Chin Chin,5,Good
HELLO Msukwa,5,Nice smooth relaxing 😌 😎
Kim Celestia,5,"My favorite game and there is nothing better than it. I love the details of the characters in it and the animation, and I love the beauty of nature in it as well I love the human-centered nature of it and the fact that you can do a lot of things in it and have multiple personalities"
Harshal Gowarkar,5,Nice
Santan Piyoo,5,Its an ok game to me
Ashish Sharma,5,Ek number game hai
lukman hafiz khairul nazar,5,I've heard of the game from YouTube and decided to play it myself. So far it's really good. Though the ping was pretty high it's still playable. 10/10 game would recommend.
Arianna Guerrero,5,Genshin is really such a fun and entertaining type of gacha game! The only thing I must complain about is how long it takes to download! Other than that I do recommend trying it out in which you could play with friends after a while!
Sarika Keni,5,Good game
Mahnifrfr Top Eleven,5,Great time playing it so far. I didn't know it. Graphics was this good.
Trisha Jane Bernardo,5,love the lore
David,2,"The mechanic with resin is very trash. You need to wait too much to make artifacts. One more thing is very bad , The stardust Shop plz make it better because 5 wish a month is very trash. Plz give me Ganyu and thx for kokomi"
Diana Nico,1,They too oversexual the female characters when it is supposed to be a kid game. That's why the community is full of creeps and weirdos
wadiii,5,this game will always be The Best every update it keeps getting better I love everything about it love how beautiful the scenery and background music and the quest are amazing especially the archon quest I also love how I can easily level up my characters and weapons and I love how I can play with my friends it would be nice to have 1v1 battle I hope that can be added ❤️❤️🙏🏻
Dragon Cat,5,Best game
Mickey Majkic,1,"Unplayable, some characters talk and others don't. English VA issues for past several patches. Not acceptable for a billion dollar company."
Jacklyn Njojip-Ngongang,5,I love the gameplay and characters
izas ahamed,2,Winning pity is too tough and rewards are very less compared to games like wuther waves
Young Johnny,1,Genshin se aller ma se Poes
Dartaficial,2,"A while ago this was my favorite game but, while having it's flaws, it kept showing quite a bit of improvement story wise, the new areas were always fun to explore and that was the case until Natlan came along. Recently in my opinion it's gotten quite boring and I don't find myself caring about the story at all and the exploration feels lacking, most of the characters don't have great designs. I hope they make some changes with the future updates or at least next nation."
Ayush Kumar,5,people often forget how beautiful this game truly is
Pookiebear Dino,5,Fun game to play when ur bored
Caitlynn Lapanne,5,You can play with friends and it will keep you occupied for a while
Colbert Sun,5,Great
Faithdrian Lacruz,5,Its cool!
Skye Graves,5,"I left this review a while ago and I was a new player, Here's an updated version. I love this game to much, The characters, The story, The events everything about the game is wonderful, The animation is clear, And the voices are crisp and easy to hear. 100% hands down the most amazing game I've ever played"
ruby edwards,1,every time i try play it i get to rendering shadows or something like that then i get kicked out of the game ive tried everything to fix it like resetinng my brand new laptop and deleting the game and getting it back. its not that i have a lack of storage either as i had 62 GB free. can you please try fix it as ive been really excited to play it.
Kartick Das,5,Nice epic adventure game
Thato,5,"This game has a variety of details it's worth your space? So you should get it cause it has amazing quality, so you should download it cause it is amazing the best ever. I'm downloading the game first. I heard good reviews about it, so I hope it's the best, that's almost all I have to say (((^_^;)(^-^;it's amazing love it I love the characters designs they are so creative and beautiful I hope more people cosplay as them so they are cute"
Aruto Chan01,5,Most likely
Stick Man,3,"Имба, 88% игры занимает лазанья по скалам! 👍 Скалолазам советую"
amy leug,1,One star couse they resist
• Yumiko •,1,Gooner game
christine kfwong,1,Bro I waited for 3 days alr and it didn't load
FATEMEH,5,Genshin impact is very good
Ayaan Mover,5,I like this Game 🫡
Gojita,1,Android needs controller support no excuses its been over 4yrs apple has had it for quite sometime now. a game made for consoles yet no controller support then they wonder why the fan base is deminishing.🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️
SWARATH RAM MAURYA,5,i like this game graphics and story
SADRA20SS,1,Farming primo is too hard.
Surajh Surajh,5,Pretty good
Post Chiper,5,Fully understand why this game is so good.
D. Dani,5,Good game
Keshav Kaushik,4,Good game but I spin like 50 times but cannot get character name zhongli
Kurumi,5,"I've been playing it for more than two years, perfect and exceptional 👌👌"
Isabel Lyonette,5,I adore the art style and the characters are so...Ok I won't say out loud but they are so detailed!
Gina Patrimonio,5,ᴠᴇʀʏ ɢʀᴇᴀᴛ ᴇxᴘᴇʀɪᴇɴᴄᴇ ɪ ɢᴏᴛ ᴍʏ ғᴀᴠᴏʀɪᴛᴇ ᴄʜᴀʀᴀᴄᴛᴇʀ ɪɴ ᴍʏ ʙᴇɢɪɴɴɪɴɢ ᴅᴀʏs ɪᴛ ᴡᴀs ғᴜɴ
kyaw kyaw,4,"I like this game, but no money😅😅"
Zeina,5,Nice
Claire Amaris Lozare,5,"AMAZINGGGGGGGGG 🥹🥹🥹🥹🥹 I just want more primos and also, plssssssss don't put 2 new 5 stars in the same banner hoyo 🙏🏻"
Hamdan Abbasi,5,Good
Blair Tanner,2,"okay so I've been a genshin player for 3 or 2 yrs, and I decided to play the game again but all of the sudden all of my accs are gone?? It resets every single data I have on the game."
Me,5,"It's very fun and addicting, I do some quest and try wishing then I resalize it's already 9:32pm"
Oleksandr Shykunov,5,"Дуже прикольна гра, гарний час з дітьми."
Zia Duymun,5,Love it
kasab Sida,5,I love storyline I love characters I also love that it's an open board game that you can explore widely and it feels very good to play it's not that hurt some parts are but that is adventure
bardia amori,1,moe male chhhh
Odin Nxumalo,5,It's just an amazing game so fun and graphics wise 10/10
MahastyRayya Alfa,5,"Good, I love it, I'm curious with the story"
Lokesh Raju,5,"Great story gamee , I love it"
Amir1385,5,بازی عالی و بی نقصی
Mahde Golamy,5,So good
Chibi Nemesis,5,Suupaaatsu!
Ashraful Amin,5,Good game
Shinji,5,this game is very cool and suitable for me
Riya Saha,5,Love this game frfr
